age_scal,experience_scal,salary_scal,name,age,department,education,experience,salary,name_Encoded,department_Encoded,educatiom_Encoded
0.0020555250385718257,2.49136764257125,2.822295128891788,Kavya,38.8,HR,PhD,30.0,143000.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1]"
0.0020555250385718257,-0.5668088738130087,0.36318542800847187,Arjun,38.8,Marketing,PhD,11.0,97500.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 0, 1]"
0.0020555250385718257,-0.003460568163276865,-7.539468200132663e-07,Kavya,38.8,Management,Master,14.5,90780.1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","[0, 1, 0]"
0.0020555250385718257,2.1694543250571177,1.3089968514251318,Dev,38.8,Management,Bachelor,28.0,115000.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0]","[1, 0, 0]"
0.0020555250385718257,-0.003460568163276865,-7.539468200132663e-07,Nikhil,38.8,IT,PhD,14.5,90780.1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1]"
0.0020555250385718257,-0.003460568163276865,-7.539468200132663e-07,Diya,38.8,Marketing,Master,14.5,90780.1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[0, 1, 0]"
0.0020555250385718257,-0.8887221913271413,-1.0960664824058035,Sahil,38.8,HR,Master,9.0,70500.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0]","[0, 1, 0]"
0.0020555250385718257,-0.003460568163276865,-7.539468200132663e-07,Pooja,38.8,IT,PhD,14.5,90780.1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1]"
0.0020555250385718257,-0.003460568163276865,-7.539468200132663e-07,Aarav,38.8,Finance,Bachelor,14.5,90780.1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0]"
1.0516853319684034,-1.37159216759834,-1.2852287670891356,Diya,46.0,Finance,Master,6.0,67000.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0]"
0.0020555250385718257,-0.003460568163276865,-7.539468200132663e-07,Kavya,38.8,HR,Bachelor,14.5,90780.1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0]"
1.634813002484976,0.7208443962435213,-0.44751007777723667,Isha,50.0,Marketing,Bachelor,19.0,82500.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]","[1, 0, 0]"
